,Unnamed: 0,Unnamed: 1,PRODUCCION,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,ENVIO,SEDE,,ENVIOS,CABECEROS,FECHA,TURNO,REVISO
1,,,INICIAL FINAL,,,,,
2,1 / 2,B001 / MATUTINO,0000001 0001968,1968,001 / 041,,,
3,2 / 2,B001 / MATUTINO,0001969 0003792,1824,042 / 079,,,
4,1 / 2,B001 / VESPERTINO,0003793 0005760,1968,080 / 120,,,
5,2 / 2,B001 / VESPERTINO,0005761 0007584,1824,121 / 158,,,
6,1 / 2,B003 / MATUTINO,0007585 0009552,1968,159 / 199,,,
7,2 / 2,B003 / MATUTINO,0009553 0011376,1824,200 / 237,,,
8,1 / 2,B003 / VESPERTINO,0011377 0013344,1968,238 / 278,,,
9,2 / 2,B003 / VESPERTINO,0013345 0015168,1824,279 / 316,,,
10,1 / 1,B004 / MATUTINO,0015169 0016992,1824,317 / 354,,,
11,1 / 1,C001 / MATUTINO,0016993 0017664,672,355 / 370,,,
12,1 / 1,C001 / VESPERTINO,0017665 0017701,37,371 / 371,,,
13,1 / 1,C004 / MATUTINO,0017702 0018289,588,372 / 385,,,
14,1 / 1,C004 / VESPERTINO,0018290 0018618,329,386 / 393,,,
15,1 / 1,C005 / MATUTINO,0018619 0019042,424,394 / 404,,,
16,1 / 1,C007 / MATUTINO,0019043 0019733,691,405 / 419,,,
17,1 / 1,C008 / MATUTINO,0019734 0020531,798,420 / 438,,,
18,1 / 1,C008 / VESPERTINO,0020532 0021329,798,439 / 457,,,
19,1 / 1,C009 / MATUTINO,0021330 0021555,226,458 / 463,,,
20,1 / 1,C011 / MATUTINO,0021556 0021971,416,464 / 473,,,
21,1 / 1,C013 / MATUTINO,0021972 0022839,868,474 / 492,,,
22,1 / 1,G002 / MATUTINO,0022840 0024283,1444,493 / 523,,,
23,1 / 1,A036 / MATUTINO,0024284 0024426,143,524 / 528,,,
24,1 / 1,A036 / VESPERTINO,0024427 0024545,119,529 / 533,,,
